Plain english,shakespear
"If I had a nickel for every time I saw someone as cute as you, I’d have five cents","Alas, if mine purse held a nickel for every time mine eyes beheld one as fair as thee, I would possess a sum of five cents."
"Are you my laptop? Because you’re really hot, and I’m concerned.","Pray, art thou my laptop? For thou art hot as the fires of Hades, and I fear for thy well-being."
Could you possibly get me a glass of water? I’m suddenly really thirsty.,"Might I request a glass of water, fair maiden? For suddenly, my throat doth grow parched."
"Look, I’ve been blinded by your beauty. My insurance company is going to need your name and number.","Behold, thy beauty hath blinded mine eyes! Pray, thy name and number for the sake of mine insurance."
Your eyes are like Ikea. I’m totally lost in them.,Thine eyes are like unto the labyrinth of Ikea; I am utterly lost within them.
Are you my untied shoelace? Because I’m falling for you.,"Art thou perchance mine untied shoelace? For verily, I feel myself falling for thee."
I think I’ve seen you in a book somewhere. it was really fine print.,Methinks I have seen thee in a volume of fine print.
I want you to know that I am 100% committed to this Tinder relationship.,"Pray, know that I am devoted wholly to this Tinder courtship."
Be honest: Is this match at first sight for you too?,"Pray, be honest with me: was it love at first sight for thee as well?"
Are you French? Because Eiffel for you.,"Art thou French, perchance? For I am falling for thee like the Eiffel Tower."
You must be terrible at hide and seek. Someone like you is so hard to find!,"Methinks thou would make a poor player of hide-and-seek, for one as lovely as thee would be hard to find indeed!"
"Look, I won’t flirt with you. I’ll just be extra friendly to someone who is extra attractive.","I shall not flirt with thee, fair maiden; rather, I shall be extra friendly towards one as comely as thee."
"If you were a fruit, you’d be a fineapple.","If thou wert a fruit, thou wouldst be a fineapple."
Do you like bagels? Because you’re bae goals.,"Pray, dost thou enjoy bagels? For thou art truly bae goals."
Do you know what I have in common with the Little Mermaid? We both want to be part of your world.,Dost thou know what I have in common with the Little Mermaid? We both desire to be a part of thy world.
Are you from space? Because you’re out-of-this-world good-looking.,"Art thou from the stars, perchance? For thou art out of this world fair."
"If you were a vegetable, you’d be a cute-cumber.","If thou wert a vegetable, thou wouldst be a cute-cumber."
Do you ever wear fishnet stockings? Because you’re a real catch.,Dost thou ever don fishnet stockings? For thou art a real catch.
Roses are red. Violets are blue. How did I get so lucky to match with you?,"Roses are red, violets are blue; how lucky am I to have matched with one as fair as you?"
