toronto mans,shakespear,programmer,Plain english
"Yo, you’re looking bare nice, still.","Alas, if mine purse held a nickel for every time mine eyes beheld one as fair as thee, I would possess a sum of five cents.",Are you a keyboard? Because you're just my type.,"If I had a nickel for every time I saw someone as cute as you, I’d have five cents"
You’re hotter than a Tim Hortons coffee.,"Pray, art thou my laptop? For thou art hot as the fires of Hades, and I fear for thy well-being.","You must be a function, because you always return my call.","Are you my laptop? Because you’re really hot, and I’m concerned."
"Aye, could you grab me a cup of water? I’m parched, eh.","Might I request a glass of water, fair maiden? For suddenly, my throat doth grow parched.",I'd love to CTRL+C and CTRL+V myself into your life.,Could you possibly get me a glass of water? I’m suddenly really thirsty.
"Yo, you’re so peng that I’m shook.","Behold, thy beauty hath blinded mine eyes! Pray, thy name and number for the sake of mine insurance.","You had me at ""Hello, World.""","Look, I’ve been blinded by your beauty. My insurance company is going to need your name and number."
"Your eyes are like the CN Tower, fam. I’m lost in them.",Thine eyes are like unto the labyrinth of Ikea; I am utterly lost within them.,My love for you is like an infinite loop – it never ends.,Your eyes are like Ikea. I’m totally lost in them.
You’re more beautiful than a sunset at Woodbine Beach.,"Art thou perchance mine untied shoelace? For verily, I feel myself falling for thee.",Are you a programmer? Because you just made my software into hardware.,Are you my untied shoelace? Because I’m falling for you.
"You’re a snack, like a poutine from Smoke’s.",Methinks I have seen thee in a volume of fine print.,You're the HTML to my CSS – we just go together.,I think I’ve seen you in a book somewhere. it was really fine print.
"I must’ve seen you on Ossington. You’re a real gem, eh.","Pray, know that I am devoted wholly to this Tinder courtship.","I must be a database, because I can't resist your keys.",I want you to know that I am 100% committed to this Tinder relationship.
"I’m 100% down for this Rizzify t’ing, you know.","Pray, be honest with me: was it love at first sight for thee as well?","You must be an angel investor, because you just invested in my heart.",Be honest: Is this match at first sight for you too?
"Is it love at first sight for you, too, or am I trippin’?","Art thou French, perchance? For I am falling for thee like the Eiffel Tower.",Are you a coding bootcamp? Because I'd love to be immersed in you.,Are you French? Because Eiffel for you.
"You’re so fine, I’d take you to King’s Palace for dim sum.","Methinks thou would make a poor player of hide-and-seek, for one as lovely as thee would be hard to find indeed!",I don't need to debug my feelings for you – they're always running smoothly.,You must be terrible at hide and seek. Someone like you is so hard to find!
"If you were a streetcar, I’d ride you all night long.","I shall not flirt with thee, fair maiden; rather, I shall be extra friendly towards one as comely as thee.",You're the variable to my equation – we're meant to be together.,"Look, I won’t flirt with you. I’ll just be extra friendly to someone who is extra attractive."
"Aye, do you come here often or what?","If thou wert a fruit, thou wouldst be a fineapple.",Are you a tech conference? Because I can't get enough of you.,"If you were a fruit, you’d be a fineapple."
"You’re more beautiful than a Drake song, fam.","Pray, dost thou enjoy bagels? For thou art truly bae goals.",You make my heart race like a faster CPU.,Do you like bagels? Because you’re bae goals.
Is your name Dundas? Because you’re the heart of the city.,Dost thou know what I have in common with the Little Mermaid? We both desire to be a part of thy world.,You're the byte to my bit – we complete each other.,Do you know what I have in common with the Little Mermaid? We both want to be part of your world.
"You’re a real catch, like a fish from Kensington Market.","Art thou from the stars, perchance? For thou art out of this world fair.",Can I sudo your heart and become your root user?,Are you from space? Because you’re out-of-this-world good-looking.
"You’re a 10/10, like a Jays win against the Yankees.","If thou wert a vegetable, thou wouldst be a cute-cumber.",You're the semicolon to my code – I can't function without you.,"If you were a vegetable, you’d be a cute-cumber."
"Yo, do you have a light? Because you’re a straight-up fire ting.",Dost thou ever don fishnet stockings? For thou art a real catch.,You're the Wi-Fi to my laptop – I need you to connect.,Do you ever wear fishnet stockings? Because you’re a real catch.
Are you from the 6ix? Because you’re out-of-this-world peng.,"Roses are red, violets are blue; how lucky am I to have matched with one as fair as you?",You're the bug in my code that I want to keep.,Roses are red. Violets are blue. How did I get so lucky to match with you?
"If you were a Blue Jay, I’d never trade you.","If thou wert a taser, thou wouldst surely be set to stun.",I love you more than my favorite programming language.,"If you were a taser, you’d be set to stun."
"You’re a cute-cumber, like a salad from Fresh.","Pray, dost thou play soccer? For thou lookest like a keeper.","I must be a compiler, because I can't stop running you through my mind.",Do you play soccer? You look like a keeper.
You’re hotter than the subway platform in the summer.,Art thou a gardener? For I find myself enamoured with thy tulips.,You're the CSS to my HTML – we just work so well together.,Are you a gardener? I like your tulips.
"You’re more beautiful than the Toronto skyline, fam.","How much doth a polar bear weigh? Enough to break the ice, methinks!",Can I code with you until the end of time?,How much does a polar bear weigh? Enough to break the ice!
Do you like bacon? Because you’re bae-con.,Dost thou possess a sweetness akin to that of sugar? For thou art looking super sweet.,You're the JavaScript to my HTML – I can't function without you.,Did you fall into a pile of sugar? You’re looking super sweet.
"You’re so fine, I’d take you to the AGO for a date.",Dost thou enjoy cheese? Wouldst thou care to brie with me?,Are you a SQL query? Because you just searched and found my heart.,Do you like cheese? Would you like to brie with me?
"Yo, are you a Leafs fan? Because you have my heart.",I simply wished to inform thee that thou hast some cute upon thy visage.,"I'm just a simple programmer, but I think you're extraordinary.",Just wanted to let you know: You have some cute on your face.
