english,toronto mans
"Hey, you look really nice today.","Yo, you’re looking bare nice, still."
You're more attractive than a cup of coffee from Tim Hortons.,You’re hotter than a Tim Hortons coffee.
Could you please get me a glass of water? I'm thirsty.,"Aye, could you grab me a cup of water? I’m parched, eh."
You're so beautiful that it's surprising.,"Yo, you’re so peng that I’m shook."
"Your eyes are captivating, like the CN Tower.","Your eyes are like the CN Tower, fam. I’m lost in them."
You're more stunning than a sunset at Woodbine Beach.,You’re more beautiful than a sunset at Woodbine Beach.
You're attractive.,"You’re a snack, like a poutine from Smoke’s."
You're a real gem.,"I must’ve seen you on Ossington. You’re a real gem, eh."
I'm interested in rizzifying you.,"I’m 100% down for this Rizzify t’ing, you know."
Do you feel the same way about me?,"Is it love at first sight for you, too, or am I trippin’?"
You're so beautiful that I'd take you on a date to King's Palace for dim sum.,"You’re so fine, I’d take you to King’s Palace for dim sum."
"If you were a streetcar, I'd ride you all night long.","If you were a streetcar, I’d ride you all night long."
Do you come here often?,"Aye, do you come here often or what?"
You're more beautiful than a Drake song.,"You’re more beautiful than a Drake song, fam."
"You're the heart of the city, like Dundas.",Is your name Dundas? Because you’re the heart of the city.
"You're a great catch, like a fish from Kensington Market.","You’re a real catch, like a fish from Kensington Market."
"You're a perfect 10, like a Jays win against the Yankees.","You’re a 10/10, like a Jays win against the Yankees."
You're very attractive.,"Yo, do you have a light? Because you’re a straight-up fire ting."
"You're out-of-this-world beautiful, like the 6ix.",Are you from the 6ix? Because you’re out-of-this-world peng.
"If you were a Blue Jay, I'd never trade you.","If you were a Blue Jay, I’d never trade you."
"You're cute, like a salad from Fresh.","You’re a cute-cumber, like a salad from Fresh."
You're hotter than the subway platform in the summer.,You’re hotter than the subway platform in the summer.
You're more beautiful than the Toronto skyline.,"You’re more beautiful than the Toronto skyline, fam."
"You're attractive, like bacon.",Do you like bacon? Because you’re bae-con.
You're so beautiful that I'd take you on a date to the AGO.,"You’re so fine, I’d take you to the AGO for a date."
Are you a Leafs fan? Because you have my heart.,"Yo, are you a Leafs fan? Because you have my heart."
You're more beautiful than a fall day in High Park.,You’re more beautiful than a fall day in High Park.
"You're a snack, like a Jamaican patty from Patty King.","You’re a snack, like a Jamaican patty from Patty King."
"You're always on my mind, like Spadina.",Is your name Spadina? Because you’re always on my mind.
"You're a cutie-pie, like a butter tart from Wanda's.","You’re a cutie-pie, like a butter tart from Wanda’s."
Can I follow you on Instagram?,"Yo, do you have Instagram? I want to follow you, still."
You're hotter than a Drake verse.,"You’re hotter than a Drake verse, fam."
"You're the longest street in the city, like Yonge, and I'll never let you go.","Is your name Yonge? Because you’re the longest street in the city, and I’m never letting you go."
"You're a perfect 10, like a Raptors win in the playoffs.","You’re a 10/10, like a Raptors win in the playoffs."
"You're beautiful, like a latte from Balzac's.","You’re a peng ting, like a latté from Balzac’s."
You're more stunning than a sunset at the Scarborough Bluffs.,You’re more beautiful than a sunset at the Scarborough Bluffs.
"If you were a TTC bus, I'd never miss my stop.","If you were a TTC bus, I’d never miss my stop."
"You're a snack, like a cronut from Roselle.","You’re a snack, like a cronut from Roselle."
"You're the queen of my heart, like Queen.",Is your name Queen? Because you’re the queen of my heart.
"You're a cutie-pie, like a cupcake from Dufflet.","You’re a cutie-pie, like a cupcake from Dufflet."
Can I borrow your phone charger? I want to stay connected to you.,"Yo, do you have a phone charger? Because I’m trying to stay connected to you."
You're more stunning than a summer day at Trinity Bellwoods.,You’re more beautiful than a summer day at Trinity Bellwoods.
"You are attractive, like a cold brew from Pilot coffee.","You’re a peng ting, like a cold brew from Pilot."
"I just bought a lipstick that won't smudge when kissed, and I want to try it out.","I just bought a kiss-proof lippie, and I wanna test it out."
